Date,HE,P/OP,Gen ,RT Busbar,RT Hub,DA Busbar,DA Hub,RT Busbar,RT Hub,DA Busbar,DA Hub,RT Busbar,RT Hub,DA Busbar,DA Hub,RT Busbar,RT Hub,DA Busbar,DA Hub,,,,,,,Peak,Off Peak
1-Jan-22,1,OP,36.8 ,$0.74 ,$56.43 ,$5.20 ,$30.17 ,$27.23 ,"$2,076.55 ",$191.36 ,"$1,110.26 ",$10.93 ,$28.79 ,$20.62 ,$27.57 , $19.62 , $29.47 , $23.07 , $32.19 ,,,,,,Jan-26,$66.41 ,$61.71 
1-Jan-22,2,OP,17.0 ,($3.78),$29.24 ,$1.54 ,$22.08 ,($64.29),$497.11 ,$26.18 ,$375.36 ,,,,,,,,,,,,,,Feb-26,$66.38 ,$59.84 
1-Jan-22,3,OP,14.6 ,($4.00),$22.15 ,$1.83 ,$19.97 ,($58.40),$323.32 ,$26.72 ,$291.56 ,,,,,,,,,,,,,,Mar-26,$47.90 ,$37.77 
1-Jan-22,4,OP,14.6 ,($4.00),$19.59 ,$2.50 ,$15.90 ,($58.40),$285.94 ,$36.50 ,$232.14 ,,,,,,,,,,,,,,Apr-26,$47.59 ,$36.67 
1-Jan-22,5,OP,14.4 ,($4.00),$13.66 ,($1.34),$10.00 ,($57.60),$196.73 ,($19.30),$144.00 ,,,,,,,,,,,,,,May-26,$49.00 ,$37.22 
1-Jan-22,6,OP,14.0 ,($4.06),$11.57 ,$0.08 ,$12.93 ,($56.77),$161.98 ,$1.12 ,$181.02 ,,,,,,,,,,,,,,Jun-26,$52.13 ,$39.89 
1-Jan-22,7,OP,13.7 ,($4.06),$10.25 ,$0.86 ,$13.76 ,($55.59),$140.43 ,$11.78 ,$188.51 ,,,,,,,,,,,,,,Jul-26,$79.10 ,$50.15 
1-Jan-22,8,OP,14.5 ,($4.00),$10.38 ,$5.87 ,$14.88 ,($58.00),$150.54 ,$85.12 ,$215.76 ,,,,,,,,,,,,,,Aug-26,$112.37 ,$66.49 
1-Jan-22,9,OP,12.2 ,($5.35),$8.94 ,$8.84 ,$15.74 ,($65.21),$109.09 ,$107.85 ,$192.03 ,,,,,,,,,,,,,,Sep-26,$60.22 ,$42.00 
1-Jan-22,10,OP,-  ,($14.81),($0.04),$12.33 ,$16.83 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,Oct-26,$44.56 ,$36.83 
