,ds,yhat,yhat_lower,yhat_upper
0,2022-01-01,14.95,-44.41,72.69
1,2022-01-02,15.28,-47.65,76.32
2,2022-01-03,15.12,-48.76,80.29
3,2022-01-04,15.81,-48.86,78.54
4,2022-01-05,16.92,-42.15,86.78
5,2022-01-06,18.18,-40.68,85.68
6,2022-01-07,20.11,-42.42,79.9
7,2022-01-08,22.63,-38.23,88.3
8,2022-01-09,23.94,-42.48,85.14
9,2022-01-10,23.21,-43.01,85.43
10,2022-01-11,23.99,-39.41,82.78
11,2022-01-12,25.84,-40.64,89.62
12,2022-01-13,26.63,-35.72,88.67
13,2022-01-14,28.26,-31.34,90.76
14,2022-01-15,30.6,-34.11,90.75
15,2022-01-16,31.99,-29.76,98.54
16,2022-01-17,31.17,-35.42,89.04
17,2022-01-18,31.29,-27.82,92.45
18,2022-01-19,32.07,-34.86,95.2
19,2022-01-20,33.55,-27.22,94.52
20,2022-01-21,34.76,-32.98,95.87
21,2022-01-22,36.57,-29.66,102.42
22,2022-01-23,37.75,-22.31,102.75
23,2022-01-24,35.41,-28.59,95.18
24,2022-01-25,22.58,-38.82,86.22
25,2022-01-26,21.85,-39.32,79.06
26,2022-01-27,21.43,-40.35,81.68
27,2022-01-28,25.93,-37.29,88.42
28,2022-01-29,25.37,-41.4,83.81
29,2022-01-30,23.84,-42.47,85.82
30,2022-01-31,21.46,-37.74,82.12
31,2022-02-01,20.27,-43.77,82.34
32,2022-02-02,19.8,-44.56,85.09
33,2022-02-03,19.52,-44.43,86.57
34,2022-02-04,20.35,-43.54,82.92
35,2022-02-05,22.09,-39.66,87.57
36,2022-02-06,22.19,-39.04,90.46
37,2022-02-07,19.98,-40.24,79.01
38,2022-02-08,19.21,-42.88,82.35
39,2022-02-09,19.27,-36.91,81.38
40,2022-02-10,18.53,-40.65,83.43
41,2022-02-11,20.1,-46.79,89.82
42,2022-02-12,23.86,-36.67,83.1
43,2022-02-13,25.22,-33.9,85.44
44,2022-02-14,26.4,-37.32,87.31
45,2022-02-15,26.91,-36.48,88.72
46,2022-02-16,26.15,-37.04,85.51
47,2022-02-17,26.82,-36.6,86.92
48,2022-02-18,13.09,-47.65,71.62
49,2022-02-19,14.84,-49.51,80.74
50,2022-02-20,15.55,-49.1,84.29
51,2022-02-21,14.21,-52.24,74.85
52,2022-02-22,14.0,-47.44,77.65
53,2022-02-23,15.09,-46.69,80.67
54,2022-02-24,25.5,-36.84,90.89
55,2022-02-25,28.53,-38.44,93.48
56,2022-02-26,32.29,-29.92,87.53
57,2022-02-27,33.55,-29.65,96.43
58,2022-02-28,32.17,-27.46,93.22
59,2022-03-01,31.85,-34.36,95.97
60,2022-03-02,32.72,-31.25,96.87
61,2022-03-03,33.98,-24.91,93.13
62,2022-03-04,36.69,-24.78,99.04
63,2022-03-05,40.75,-27.73,104.64
64,2022-03-06,41.85,-22.29,104.22
65,2022-03-07,39.69,-23.37,103.67
66,2022-03-08,39.51,-22.43,105.48
67,2022-03-09,40.39,-24.8,104.41
68,2022-03-10,41.42,-18.71,106.8
69,2022-03-11,43.8,-18.68,107.09
70,2022-03-12,36.93,-25.41,100.9
71,2022-03-13,38.32,-18.76,102.84
72,2022-03-14,14.52,-48.48,75.22
73,2022-03-15,13.99,-50.0,77.19
74,2022-03-16,14.57,-45.03,78.54
75,2022-03-17,15.55,-44.42,77.88
76,2022-03-18,18.92,-47.68,78.3
77,2022-03-19,23.29,-44.25,84.92
78,2022-03-20,36.19,-24.56,95.33
79,2022-03-21,33.77,-29.08,102.05
80,2022-03-22,33.67,-35.32,94.31
81,2022-03-23,34.85,-27.64,96.36
82,2022-03-24,36.92,-31.55,105.15
83,2022-03-25,42.75,-20.31,102.36
84,2022-03-26,49.0,-16.88,103.82
85,2022-03-27,50.9,-11.05,111.14
86,2022-03-28,47.79,-10.69,114.93
87,2022-03-29,48.89,-13.97,115.88
88,2022-03-30,52.05,-15.69,114.73
89,2022-03-31,53.17,-12.94,118.35
90,2022-04-01,59.8,-4.33,124.3
91,2022-04-02,66.84,3.1,122.77
92,2022-04-03,69.84,4.68,132.89
93,2022-04-04,64.88,4.48,127.18
94,2022-04-05,48.03,-13.57,108.18
95,2022-04-06,45.27,-14.55,109.62
96,2022-04-07,15.21,-46.68,78.22
97,2022-04-08,20.44,-39.27,82.07
98,2022-04-09,26.59,-40.02,85.85
99,2022-04-10,27.17,-30.98,94.46
100,2022-04-11,24.68,-35.64,86.97
101,2022-04-12,24.27,-43.55,87.06
102,2022-04-13,42.88,-18.93,109.02
103,2022-04-14,43.36,-18.21,105.08
104,2022-04-15,45.13,-14.77,107.52
105,2022-04-16,51.07,-12.62,110.67
106,2022-04-17,53.85,-9.25,117.9
107,2022-04-18,52.15,-11.65,116.04
108,2022-04-19,50.58,-11.65,116.66
109,2022-04-20,50.77,-12.07,110.17
110,2022-04-21,53.29,-4.87,120.53
111,2022-04-22,61.7,-4.12,123.56
112,2022-04-23,72.74,10.15,135.85
113,2022-04-24,74.55,9.95,138.0
114,2022-04-25,70.29,7.91,132.48
115,2022-04-26,70.27,6.5,132.81
116,2022-04-27,72.09,7.66,130.52
117,2022-04-28,76.89,14.09,141.33
118,2022-04-29,62.09,-3.6,123.2
119,2022-04-30,68.13,5.29,134.38
120,2022-05-01,30.37,-36.11,94.63
121,2022-05-02,23.49,-36.77,84.31
122,2022-05-03,22.1,-42.34,85.96
123,2022-05-04,23.67,-41.13,82.11
124,2022-05-05,26.32,-33.13,89.01
125,2022-05-06,32.53,-30.91,96.95
126,2022-05-07,62.32,-2.98,128.84
127,2022-05-08,64.58,-1.58,130.02
128,2022-05-09,60.01,1.85,124.39
129,2022-05-10,61.17,-7.18,123.99
130,2022-05-11,62.93,-1.32,127.11
131,2022-05-12,64.91,4.27,123.66
132,2022-05-13,71.26,4.89,134.43
133,2022-05-14,80.08,17.19,141.42
134,2022-05-15,83.43,18.32,143.29
135,2022-05-16,79.12,15.28,140.89
136,2022-05-17,79.91,15.18,141.26
137,2022-05-18,83.4,23.12,145.73
138,2022-05-19,86.65,17.52,152.96
139,2022-05-20,103.21,41.96,164.81
140,2022-05-21,116.83,58.16,184.89
141,2022-05-22,111.46,50.84,173.6
142,2022-05-23,74.15,13.31,139.91
143,2022-05-24,69.9,10.63,134.3
144,2022-05-25,23.35,-42.7,87.38
145,2022-05-26,26.28,-39.05,87.28
146,2022-05-27,38.13,-21.78,99.43
147,2022-05-28,49.61,-13.49,113.47
148,2022-05-29,53.23,-11.52,115.3
149,2022-05-30,46.2,-17.65,110.49
150,2022-05-31,69.38,6.74,127.96
151,2022-06-01,68.22,6.61,126.93
152,2022-06-02,66.41,4.68,131.89
153,2022-06-03,68.99,6.18,133.59
154,2022-06-04,77.78,10.47,139.19
155,2022-06-05,81.88,20.18,144.43
156,2022-06-06,73.06,11.97,137.19
157,2022-06-07,69.86,2.68,132.0
158,2022-06-08,73.0,12.98,134.83
159,2022-06-09,75.67,4.95,137.33
160,2022-06-10,78.95,11.16,142.17
161,2022-06-11,87.27,25.18,152.54
162,2022-06-12,90.21,29.5,154.18
163,2022-06-13,82.95,19.94,144.43
164,2022-06-14,82.84,17.73,148.8
165,2022-06-15,84.39,23.51,150.13
166,2022-06-16,58.45,-3.54,121.52
167,2022-06-17,65.06,3.65,128.24
168,2022-06-18,21.21,-42.93,89.77
169,2022-06-19,24.08,-40.74,88.64
170,2022-06-20,18.29,-46.97,83.2
171,2022-06-21,17.66,-45.47,80.29
172,2022-06-22,20.29,-40.75,83.47
173,2022-06-23,23.92,-37.31,90.89
174,2022-06-24,31.98,-24.72,98.14
175,2022-06-25,43.35,-21.32,105.29
176,2022-06-26,47.73,-15.08,110.07
177,2022-06-27,42.66,-22.02,104.37
178,2022-06-28,43.08,-19.67,104.51
179,2022-06-29,46.37,-18.52,110.11
180,2022-06-30,50.56,-12.02,118.44
181,2022-07-01,59.2,-4.07,126.36
182,2022-07-02,71.12,4.23,136.09
183,2022-07-03,75.66,10.86,133.54
184,2022-07-04,70.27,10.23,132.67
185,2022-07-05,70.4,4.84,133.93
186,2022-07-06,73.35,10.55,139.14
187,2022-07-07,77.08,14.7,141.55
188,2022-07-08,85.37,23.37,150.8
189,2022-07-09,97.4,34.73,158.88
190,2022-07-10,111.63,53.19,178.49
191,2022-07-11,107.26,47.26,168.53
192,2022-07-12,43.79,-19.49,106.8
193,2022-07-13,41.7,-25.28,108.89
194,2022-07-14,45.37,-12.16,110.32
195,2022-07-15,51.63,-10.14,111.85
196,2022-07-16,58.73,-2.24,122.19
197,2022-07-17,60.97,-7.1,121.79
198,2022-07-18,51.06,-7.82,114.33
199,2022-07-19,46.65,-14.19,110.93
200,2022-07-20,45.65,-19.24,110.92
201,2022-07-21,47.34,-14.47,112.56
202,2022-07-22,54.72,-8.99,117.2
203,2022-07-23,65.64,2.7,132.5
